"","obs","true","level"
"1",159.402672632298,130,"Unacceptable"
"2",120.532208245485,130,"Unacceptable"
"3",133.749072779779,130,"Unacceptable"
"4",110.117469568933,130,"Unacceptable"
"5",112.445131230646,130,"Unacceptable"
"6",120.213122947682,130,"Poor"
"7",155.41844429136,130,"Poor"
"8",161.373422030441,130,"Poor"
"9",152.138645966046,130,"Poor"
"10",129.465583619561,130,"Poor"
"11",152.273405764975,130,"Questionable"
"12",135.98588027752,130,"Questionable"
"13",113.570755387446,130,"Questionable"
"14",121.079899369378,130,"Questionable"
"15",124.21222521014,130,"Questionable"
"16",147.790330598685,130,"Acceptable"
"17",124.271434183595,130,"Acceptable"
"18",132.268407536447,130,"Acceptable"
"19",117.969910289089,130,"Acceptable"
"20",119.378281255961,130,"Acceptable"
"21",142.615197728099,130,"Good"
"22",125.937850054472,130,"Good"
"23",131.608537258004,130,"Good"
"24",121.469413142826,130,"Good"
"25",122.468094877438,130,"Good"
"26",129.647788270865,130,"Excellent"
"27",125.916846713327,130,"Excellent"
"28",130.080708494544,130,"Excellent"
"29",125.317387957811,130,"Excellent"
"30",133.142505312942,130,"Excellent"
